Ranking;Job Title;Median Base Salary;Job Satisfaction;Job Openings
1;Enterprise Architect;144997;4.1;14021
2;Full Stack Engineer;101794;4.3;11252
3;Data Scientist;120000;4.1;10071
4;Devops Engineer;120095;4.2;8548
5;Strategy Manager;140000;4.2;6977
6;Machine Learning Engineer;130489;4.3;6801
7;Data Engineer;113960;4.0;11821
8;Software Engineer;116638;3.9;64155
9;Java Developer;107099;4.1;10201
10;Product Manager;125317;4.0;17725
